Ver. 4 7 real time data, czwartek, 27 sierpieñ 2026 06:37:35
TEMPO	GIRI	LAMBDA	GAS	BENZ	PRESS	MAP	T.RID	T.GAS	LIV	SLOW	FAST	OX	MARKER	AUTOMARKER	ECUMARKER
38875	906	0.550000	6.310000	5.160000	1.530000	0.440000	55.000000	6.000000	74	0.000000	0.000000	0.000000	0	0	0	
39094	915	0.550000	6.350000	5.210000	1.520000	0.450000	55.000000	6.000000	72	0.000000	0.000000	0.000000	0	0	0	
39422	918	0.550000	5.830000	4.670000	1.520000	0.450000	55.000000	6.000000	0	0.000000	0.000000	0.000000	0	0	0	
39672	902	0.550000	5.660000	4.480000	1.510000	0.450000	55.000000	6.000000	0	0.000000	0.000000	0.000000	0	0	0	
39906	911	0.550000	5.440000	4.310000	1.530000	0.440000	55.000000	6.000000	14	0.000000	0.000000	0.000000	0	0	0	
40141	899	0.550000	5.080000	4.230000	1.510000	0.450000	55.000000	6.000000	15	0.000000	0.000000	0.000000	0	0	0	
40391	878	0.550000	5.020000	4.200000	1.520000	0.450000	55.000000	6.000000	68	0.000000	0.000000	0.000000	0	0	0	
40625	873	0.550000	5.380000	4.350000	1.520000	0.460000	55.000000	6.000000	55	0.000000	0.000000	0.000000	0	0	0	
40875	906	0.550000	5.220000	4.280000	1.520000	0.460000	55.000000	6.000000	55	0.000000	0.000000	0.000000	0	0	0	
41110	899	0.550000	5.080000	4.220000	1.520000	0.460000	55.000000	6.000000	18	0.000000	0.000000	0.000000	0	0	0	
41344	878	0.550000	5.080000	4.230000	1.520000	0.470000	55.000000	6.000000	16	0.000000	0.000000	0.000000	0	0	0	
41547	949	0.550000	1.780000	1.210000	1.460000	0.630000	55.000000	6.000000	190	0.000000	0.000000	0.000000	0	0	0	
41766	1033	0.550000	11.450000	10.800000	1.490000	0.650000	55.000000	6.000000	106	0.000000	0.000000	0.000000	0	0	0	
41969	1433	0.550000	9.370000	7.750000	1.500000	0.580000	55.000000	6.000000	106	0.000000	0.000000	0.000000	0	0	0	
42203	1424	0.550000	9.060000	7.390000	1.480000	0.570000	55.000000	6.000000	119	0.000000	0.000000	0.000000	0	0	0	
