Ver. 4 7 real time data, pi¹tek, 28 sierpieñ 2026 06:49:29
TEMPO	GIRI	LAMBDA	GAS	BENZ	PRESS	MAP	T.RID	T.GAS	LIV	SLOW	FAST	OX	MARKER	AUTOMARKER	ECUMARKER
24437	799	0.410000	0.000000	4.700000	0.600000	0.410000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
24656	796	0.410000	0.000000	4.680000	0.610000	0.410000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
24875	791	0.410000	0.000000	4.680000	0.610000	0.410000	74.000000	17.000000	125	0.000000	0.000000	0.000000	0	0	0	
25172	792	0.410000	0.000000	4.730000	0.590000	0.430000	74.000000	17.000000	123	0.000000	0.000000	0.000000	0	0	0	
25406	792	0.410000	0.000000	4.740000	0.600000	0.420000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
25609	810	0.410000	0.000000	4.810000	0.600000	0.420000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
25859	802	0.410000	0.000000	4.630000	0.610000	0.410000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
26094	795	0.410000	0.000000	4.700000	0.600000	0.410000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
26297	800	0.410000	0.000000	4.700000	0.600000	0.430000	74.000000	17.000000	123	0.000000	0.000000	0.000000	0	0	0	
26531	801	0.410000	0.000000	4.790000	0.600000	0.420000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
26797	819	0.410000	0.000000	4.690000	0.610000	0.410000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
27015	798	0.410000	0.000000	4.760000	0.610000	0.410000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
27234	810	0.410000	0.000000	4.710000	0.590000	0.420000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
27484	788	0.410000	0.000000	4.730000	0.600000	0.420000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
27703	805	0.410000	0.000000	4.760000	0.600000	0.420000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
27953	811	0.410000	0.000000	4.770000	0.600000	0.410000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
28172	808	0.410000	0.000000	4.660000	0.600000	0.420000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
28422	789	0.410000	0.000000	4.730000	0.600000	0.420000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
28687	783	0.410000	0.000000	4.690000	0.600000	0.420000	74.000000	17.000000	125	0.000000	0.000000	0.000000	0	0	0	
28922	783	0.410000	0.000000	0.850000	0.540000	0.480000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
29125	805	0.410000	0.000000	0.790000	0.480000	0.530000	74.000000	17.000000	125	0.000000	0.000000	0.000000	0	0	0	
29375	1055	0.410000	0.000000	6.070000	0.530000	0.490000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
29578	1197	0.410000	0.000000	4.980000	0.590000	0.430000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
29922	1213	0.410000	0.000000	4.770000	0.630000	0.390000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
30140	1146	0.410000	0.000000	4.610000	0.630000	0.400000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
30359	1071	0.410000	0.000000	4.580000	0.630000	0.400000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
30562	968	0.410000	0.000000	4.670000	0.630000	0.390000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
30812	894	0.410000	0.000000	4.810000	0.600000	0.420000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
31062	761	0.410000	0.000000	5.030000	0.580000	0.450000	74.000000	17.000000	125	0.000000	0.000000	0.000000	0	0	0	
